128m	34852	35532	35532	35532	35531	35532	35532	35532	35532	35531	35533	35533	35532	35531	35531	35532	
64m	35514	35532	35532	35531	35530	35531	35532	35530	35532	35531	35531	35528	35529	35526	35529	35532	
32m	35532	35533	35530	35532	35531	35531	35529	35525	35528	35531	35535	35533	35525	35521	35523	35526	
16m	35532	35530	35530	35530	35535	35527	35524	35519	35522	35524	35519	35533	35515	35521	35490	35514	
8m	35532	35535	35530	35524	35521	35535	35524	35508	35484	35509	35503	35515	35515	35521	35512	35491	
4m	35532	35535	35523	35493	35508	35502	35505	35508	35484	35481	35472	35481	35478	35481	35469	35445	
2m	35526	35526	35508	35514	35508	35502	35466	35508	35381	35423	35472	35411	35328	35400	35381	35352	
1024k	35526	35526	35478	35429	35453	35370	35465	35418	35381	35310	35346	35274	35179	35239	35381	35168	
512k	35502	35526	35477	35429	35453	35501	35309	35238	35381	35310	35097	35003	34886	35239	35380	35167	
256k	35502	35453	35357	35262	35453	34979	35308	34886	34979	35310	34609	34471	34884	34609	34700	35167	
128k	35454	35167	35357	35261	34608	33978	34700	33544	34979	34425	32785	33454	34881	34606	34696	32462	
64k	35358	35167	34427	34608	34606	34975	33543	33544	34979	31295	34601	31596	32700	30280	32210	30143	
32k	35168	35166	34424	33372	33028	33026	27947	31141	32056	28679	31141	28426	26150	30268	28172	26375	
16k	34794	34067	32698	33365	30276	29724	25152	27248	24029	28679	38926	23688	32688	20162	28147	26350	
8k	34069	30276	32698	29195	22707	24753	20960	27248	24004	21509	19463	17766	16319	15121	28147	13175	
4k	34069	27248	27248	19463	22707	18565	15720	13624	23955	21459	19463	17766	520613	15071	14073	13175	
2k	34069	22690	20411	14572	11329	18565	15670	13574	11977	10680	9682	8883	8085	239546	6987	210800	
1k	25552	34035	10181	14572	11279	9282	7785	6787	191637	169279	4791	4392	3992	3693	3493	105400	
